delivery_date,product_type,quantity,Customer
2026-01-01,Advanced_Chip,84,Dell
2026-01-03,Advanced_Chip,67,ASUS
2026-01-05,Advanced_Chip,64,Siemens
2026-01-06,Advanced_Chip,48,Microsoft
2026-01-07,Advanced_Chip,18,Tesla
2026-01-08,Advanced_Chip,80,Foxconn
2026-01-09,Advanced_Chip,45,Meta
2026-01-10,Advanced_Chip,13,Meta
2026-01-11,Advanced_Chip,23,Meta
2026-01-12,Advanced_Chip,71,Foxconn
2026-01-13,Advanced_Chip,35,Dell
2026-01-16,Advanced_Chip,50,Siemens
2026-01-18,Advanced_Chip,44,Foxconn
2026-01-19,Advanced_Chip,23,Tesla
2026-01-21,Advanced_Chip,32,Tesla
2026-01-22,Advanced_Chip,80,ASUS
2026-01-23,Advanced_Chip,66,Foxconn
2026-01-24,Advanced_Chip,71,Best Buy
2026-01-25,Advanced_Chip,36,Foxconn
2026-01-26,Advanced_Chip,36,Microsoft
2026-01-27,Advanced_Chip,88,ASUS
2026-01-28,Advanced_Chip,71,Meta
2026-01-29,Advanced_Chip,65,Microsoft
2026-01-30,Advanced_Chip,10,Tesla
2026-01-31,Advanced_Chip,41,Siemens
2026-02-01,Advanced_Chip,33,Foxconn
2026-02-02,Advanced_Chip,25,Siemens
2026-02-03,Advanced_Chip,68,ASUS
2026-02-04,Advanced_Chip,80,Foxconn
2026-02-05,Advanced_Chip,10,Dell
2026-02-06,Advanced_Chip,16,Foxconn
2026-02-07,Advanced_Chip,57,Dell
2026-02-08,Advanced_Chip,28,Meta
2026-02-09,Advanced_Chip,84,ASUS
2026-02-10,Advanced_Chip,34,Foxconn
2026-02-11,Advanced_Chip,44,Siemens
2026-02-12,Advanced_Chip,57,Meta
2026-02-13,Advanced_Chip,57,Meta
2026-02-14,Advanced_Chip,47,Tesla
2026-02-15,Advanced_Chip,37,Microsoft
2026-02-16,Advanced_Chip,44,Tesla
2026-02-17,Advanced_Chip,15,Dell
2026-02-18,Advanced_Chip,69,Tesla
2026-02-19,Advanced_Chip,27,Foxconn
2026-02-20,Advanced_Chip,33,ASUS
2026-02-21,Advanced_Chip,26,Siemens
2026-02-22,Advanced_Chip,51,ASUS
2026-02-23,Advanced_Chip,16,Meta
2026-02-24,Advanced_Chip,85,Dell
2026-02-25,Advanced_Chip,72,Siemens
2026-02-26,Advanced_Chip,58,ASUS
2026-02-27,Advanced_Chip,17,Siemens
2026-03-01,Advanced_Chip,39,ASUS
2026-03-02,Advanced_Chip,64,Microsoft
2026-03-03,Advanced_Chip,21,Microsoft
2026-03-04,Advanced_Chip,57,Best Buy
2026-03-05,Advanced_Chip,78,Dell
2026-03-06,Advanced_Chip,66,ASUS
2026-03-08,Advanced_Chip,48,Foxconn
2026-03-09,Advanced_Chip,43,Microsoft
2026-03-10,Advanced_Chip,78,ASUS
2026-03-11,Advanced_Chip,41,Siemens
2026-03-12,Advanced_Chip,42,ASUS
2026-03-13,Advanced_Chip,83,Tesla
2026-03-14,Advanced_Chip,11,Meta
2026-03-16,Advanced_Chip,16,Siemens
2026-03-17,Advanced_Chip,45,Meta
2026-03-18,Advanced_Chip,45,Tesla
2026-03-19,Advanced_Chip,46,Best Buy
2026-03-20,Advanced_Chip,26,Foxconn
2026-03-21,Advanced_Chip,28,Foxconn
2026-03-23,Advanced_Chip,25,Microsoft
2026-03-24,Advanced_Chip,32,Meta
2026-03-25,Advanced_Chip,48,Microsoft
2026-03-26,Advanced_Chip,27,Best Buy
2026-03-27,Advanced_Chip,16,Tesla
2026-03-28,Advanced_Chip,75,Meta
2026-03-29,Advanced_Chip,74,Dell
2026-03-30,Advanced_Chip,45,Foxconn
2026-03-31,Advanced_Chip,83,Microsoft
2026-04-02,Advanced_Chip,12,ASUS
2026-04-03,Advanced_Chip,67,Best Buy
2026-04-04,Advanced_Chip,84,ASUS
2026-04-06,Advanced_Chip,12,Microsoft
2026-04-08,Advanced_Chip,45,Microsoft
2026-04-09,Advanced_Chip,73,Microsoft
2026-04-10,Advanced_Chip,38,ASUS
2026-04-11,Advanced_Chip,78,Microsoft
2026-04-12,Advanced_Chip,14,Dell
2026-04-13,Advanced_Chip,58,Foxconn
2026-04-14,Advanced_Chip,58,ASUS
2026-04-15,Advanced_Chip,30,Meta
2026-04-16,Advanced_Chip,14,Siemens
2026-04-17,Advanced_Chip,26,Tesla
2026-04-18,Advanced_Chip,71,ASUS
2026-04-19,Advanced_Chip,48,Tesla
2026-04-20,Advanced_Chip,21,ASUS
2026-04-21,Advanced_Chip,26,Best Buy
2026-04-22,Advanced_Chip,84,ASUS
2026-04-23,Advanced_Chip,39,Foxconn
2026-04-24,Advanced_Chip,88,Microsoft
2026-04-25,Advanced_Chip,26,Tesla
2026-04-26,Advanced_Chip,75,Meta
2026-04-27,Advanced_Chip,64,ASUS
2026-04-28,Advanced_Chip,13,ASUS
2026-04-29,Advanced_Chip,59,Best Buy
2026-04-30,Advanced_Chip,70,Tesla
2026-05-01,Advanced_Chip,55,Microsoft
2026-05-03,Advanced_Chip,72,Foxconn
2026-05-05,Advanced_Chip,37,Best Buy
2026-05-07,Advanced_Chip,27,Foxconn
2026-05-08,Advanced_Chip,37,ASUS
2026-05-10,Advanced_Chip,19,Microsoft
2026-05-11,Advanced_Chip,43,ASUS
2026-05-12,Advanced_Chip,15,Foxconn
2026-05-13,Advanced_Chip,42,Foxconn
2026-05-14,Advanced_Chip,13,Foxconn
2026-05-16,Advanced_Chip,75,Microsoft
2026-05-17,Advanced_Chip,60,Meta
2026-05-18,Advanced_Chip,54,Tesla
2026-05-19,Advanced_Chip,29,Siemens
2026-05-20,Advanced_Chip,20,Meta
2026-05-21,Advanced_Chip,19,Tesla
2026-05-22,Advanced_Chip,74,Foxconn
2026-05-23,Advanced_Chip,47,Foxconn
2026-05-24,Advanced_Chip,59,Tesla
2026-05-25,Advanced_Chip,10,ASUS
2026-05-26,Advanced_Chip,20,Siemens
2026-05-27,Advanced_Chip,14,Siemens
2026-05-28,Advanced_Chip,51,Tesla
2026-05-29,Advanced_Chip,60,ASUS
2026-05-30,Advanced_Chip,26,Meta
2026-05-31,Advanced_Chip,48,ASUS
2026-06-01,Advanced_Chip,24,Foxconn
2026-06-02,Advanced_Chip,38,Tesla
2026-06-03,Advanced_Chip,77,Foxconn
2026-06-04,Advanced_Chip,47,Best Buy
2026-06-05,Advanced_Chip,14,Tesla
2026-06-07,Advanced_Chip,29,Best Buy
2026-06-08,Advanced_Chip,56,Foxconn
2026-06-09,Advanced_Chip,69,Foxconn
2026-06-10,Advanced_Chip,81,Microsoft
2026-06-11,Advanced_Chip,38,Foxconn
2026-06-12,Advanced_Chip,30,Tesla
2026-06-13,Advanced_Chip,64,ASUS
2026-06-14,Advanced_Chip,83,Microsoft
2026-06-15,Advanced_Chip,47,Siemens
2026-06-16,Advanced_Chip,52,Foxconn
2026-06-17,Advanced_Chip,61,Meta
2026-06-18,Advanced_Chip,31,Dell
2026-06-19,Advanced_Chip,58,Siemens
2026-06-20,Advanced_Chip,58,Meta
2026-06-21,Advanced_Chip,65,Meta
2026-06-23,Advanced_Chip,56,Best Buy
2026-06-24,Advanced_Chip,72,Best Buy
2026-06-25,Advanced_Chip,19,Best Buy
2026-06-26,Advanced_Chip,41,Dell
2026-06-27,Advanced_Chip,68,Tesla
2026-06-28,Advanced_Chip,60,Foxconn
2026-06-29,Advanced_Chip,87,Microsoft
2026-06-30,Advanced_Chip,23,Meta
2026-07-02,Advanced_Chip,69,Dell
2026-07-03,Advanced_Chip,11,Best Buy
2026-07-04,Advanced_Chip,18,Siemens
2026-07-05,Advanced_Chip,83,ASUS
2026-07-06,Advanced_Chip,23,Meta
2026-07-07,Advanced_Chip,31,Tesla
2026-07-08,Advanced_Chip,46,Meta
2026-07-09,Advanced_Chip,50,Dell
2026-07-10,Advanced_Chip,36,ASUS
2026-07-11,Advanced_Chip,62,Dell
2026-07-12,Advanced_Chip,55,Microsoft
2026-07-13,Advanced_Chip,62,Meta
2026-07-14,Advanced_Chip,20,Meta
2026-07-15,Advanced_Chip,33,Best Buy
2026-07-16,Advanced_Chip,71,Meta
2026-07-17,Advanced_Chip,82,Foxconn
2026-07-18,Advanced_Chip,34,ASUS
2026-07-20,Advanced_Chip,68,Tesla
2026-07-21,Advanced_Chip,71,Dell
2026-07-22,Advanced_Chip,89,Best Buy
2026-07-23,Advanced_Chip,35,Tesla
2026-07-24,Advanced_Chip,80,Foxconn
2026-07-26,Advanced_Chip,48,Meta
2026-07-27,Advanced_Chip,69,Best Buy
2026-07-28,Advanced_Chip,48,Tesla
2026-07-29,Advanced_Chip,42,Meta
